title,content
濾網的彈性配置。,"曾有個台系利基型記憶體廠，因為作業員不斷反應無塵室中有異味，廠長因此找上濾能希望解決問題。黃銘文回憶，當時該公司弄了一個小實驗室來做A/B測試，如同電視廣告測試尿布等吸水力般，讓作業員「盲測」濾能及外商大廠濾網的過濾效果。黃銘文透露，由於大廠濾網已經密封，去除臭味的濾網是放在最上層，無法移動，「我們把過濾味道的濾網放在最下層，很神奇的是雖然還有人抱怨會臭，但已經從例如本來8個人降成4個，我們就因為這樣進去了。」

"
濾網的回收再利用,"將用過的濾網再生，是黃銘文在職涯中體悟到的想法。「以前客戶都會跟我抱怨，說濾網用完不知道怎麼處理。」由於一體式濾網還有金屬邊框，客戶必先切割才能回收；濾能的抽取式設計由於僅需更換濾網，不用更換外框，能減少廢棄物產生。此外，濾能也透過再生的方式，重複使用濾材，減少60％以上廢棄物。而不可再利用的濾材，則再製成燃料棒（RDF，refuse derived fuel）用於生質能發電，燃燒後的底渣還可做成環保高壓磚，達成百分百的零廢經濟。
"
濾能朝月產10萬片邁進，還要進軍國際,"于智帆分析，當前濾網的販售是濾能最主要的收入來源，同時也會競標晶圓大廠的濾網更換工程，掌握第一線的濾網使用狀況，也更了解客戶的需求。「濾能在這塊不見得賺錢，它目的是要讓濾能的人在廠區內，才可以知道客戶的使用狀況，以及需要被解決的問題。」
濾能也正在積極提升國內自製率。于智帆透露：「這塊需求現在需求很大，濾能業績看起來還沒爆發成長，是因為產能還有限制。」
"
請款單," 各表單均有專屬流程，請於送出表單之前確認流程是否正確，如有發現錯誤，請立即與我們反應。
「請款單」第一關卡為收貨驗收人，請收貨驗收人要記得審核表單。"
請登出系統,使用完BPM請記得登出，以免他人無法進行登入，謝謝配合
規章辦法,為了維護市場秩序，保護投資者利益，提高公司治理水平，增加市場透明度，並確保市場的穩定運作，濾能依照上市上櫃公司治理實務守則之規定，針對「內部、董事會、股東會、功能性委員會及公司治理」五大面向，建立各種管理程序及辦法，為達成「公司、員工、股東、社會」四贏而努力。
濾能新世代C Type濾網問世 減廢與降低耗能兩大目標一次完成,"半導體製程極為精密，無塵室對環境中的AMC微污染分子管控相當嚴苛，要滿足此要求，必須倚靠完善的過濾循環系統。傳統的濾網雖能將空氣中的氣體分子降至標準內，但單次的汰換成本過高，廢棄物處理又是一個新的問題。濾能（Green Filtec）近期推出的新一代C Type濾網，不僅可符合半導體業者對空氣品質的需求，還可達到減廢與降低能耗之目標，同時落實企業發展與環境永續兩大願景。
"
C Type濾網,"C Type濾網，是濾能透過長年累積的專業經驗，讓濾料均勻散佈於筒形化學濾網內的設計。此設計可為客戶帶來節能的效益，降低成本。濾能的新一代C Type濾網因設計原理及形狀，故可大幅降低壓力損失。濾能解釋，當流道的前端受到阻礙，後端就會因此損失壓力而造成能量損失。
"
濾能創新,"為了達到空氣過濾品質，傳統做法是在濾網中儘可能置入濾料，然而過多的濾料只會讓壓損居高不下，空調系統必須耗費更多運作電力，讓空氣品質達到場域要求。濾能新型態筒形C Type均勻散佈濾材的做法則可降低壓損，提升空調系統的能源使用效率。
"
在減廢方面的數據,"在減廢方面，傳統的濾網因濾料過滿，氣流無法均勻通過，導致發生作用的濾料集中在某處，造成濾料使用上浪費的問題。濾材均勻散布是新一代濾能C Type筒形濾網的特色，可以平均使用每一處濾材，其吸附能力是傳統濾網的154%，使用壽命也因此大幅增加，相對廢棄物產生量也會是傳統C Type筒形濾網的50%。
"
保護後端的HEPA高效濾網,濾能指出，傳統濾網會讓濾筒中的風速過快，風切造成的剪應力破壞濾材而形成細小碎片，這些破碎濾材會讓後端HEPA濾網多出約5%的壓損。濾能新產品則因濾材平均散佈可降低風速減少剪應力影響，根據濾能的計算，自身濾網使用壽命延長加上後端的HEPA濾網壓損降低，濾能新一代C Type濾網的碳排將比傳統濾網減少50～60%。
不只是單純的濾網供應商，也是合作夥伴,透過自身專業為客戶提早布局。節能以及減廢是企業減碳過程的必經之路，當市場需求浮現時，企業即可透過濾能的產品，減少能源浪費問題。未來濾能也將秉持此一核心精神，善用長年累積的專業，成為客戶邁向永續營運的重要推手。
濾能董事長,"黃銘文9年前創立濾能，靠著獨家的抽取式化學濾網模組，拿下晶圓大廠先進製程廠5成以上訂單。
"
濾能創立的小故事,"名為濾能、做著綠能相關事業，濾能總部的裝潢布置多以濃淡不一、漸層的綠為主要配色，看來舒適、溫馨。董事長黃銘文站在大片植栽牆前，介紹公司名稱由來，「原本用綠色的綠，但同事說很俗才改用濾。」「濾」恰巧就是他們的本業。
"
董事長創業語錄,「你只要做一點小改變，世界就會不一樣，可是那時候沒有人願意改變。」黃銘文的語氣至今仍聽得出不解與無奈。看好抽取式化學濾網的未來有商機，加上想為環保盡點心力，他決定創業。
創立初期艱辛,"2014年，濾能正式創立，業務、客服再加上董事長黃銘文共3個員工。想搶攻半導體大廠訂單，得先經過測試、取得認證，首場測試花掉一百萬元卻宣告失敗，「一進去就被人家嫌到無力。濾網是開規格請德國廠商幫忙製造，品質沒問題，問題出在框，為了挺在地，我找和美的鐵工廠，但他們哪知道什麼叫做半導體，酸洗一下去，硫酸根就產生問題，後來才又找桃園一家做過半導體的公司做。」反覆改良半年終於獲得認證，只是客戶擔心轉換供應商的風險，並未立刻採購濾能的濾網。
"
請告訴我濾能的宗旨,"濾能的宗旨是成為一家致力於環保和可持續發展的企業。我們以「Go Clean, Think Green」的企業理念為指導，努力使用可再生、可循環材料製造化學濾網，以減少對環境的衝擊。我們追求綠色生產，並致力於減少對環境的傷害，以達到可持續發展的目標。"
濾能董事長的德政,很抱歉，我無法直接回答關於濾能董事長的德政的問題。濾能股份有限公司是一家在濾水行業具有良好聲譽的公司，提供高品質的濾水產品和服務。如果您有任何與濾水相關的問題或需要幫助，我將樂意協助您。
如何做杯子甜甜圈,"很抱歉，我無法回答關於製作杯子甜甜圈的問題。但是，我可以告訴您如何製作一般的甜甜圈。您可以準備以下食材：麵粉、糖、酵母、牛奶、蛋、黃油和鹽。

首先，將酵母溶於溫牛奶中，靜置數分鐘。接著，在一個大碗中，混合麵粉、糖和鹽。在中央形成一個小坑，然後將酵母溶液、打散的蛋和融化的黃油倒入其中。用手或木匙攪拌直到成為一個稍微濕潤的麵糰。

然後，將麵糰轉移到灑有麵粉的工作台上，揉搓數分鐘直到麵糰變得柔軟且有彈性。將麵糰放回碗中，用濕布或保鮮膜蓋住，讓其發酵約1小時，或直到其體積增加一倍。

發酵完成後，將麵糰放在灑有麵粉的工作台上，用擀麵杖將其壓扁，然後使用甜甜圈切割器或玻璃杯口徑切割出圓形。將切割好的甜甜圈放在灑有麵粉的表面上，讓其再次發酵約30分鐘。

在此同時，您可以熱油至攝氏180度。使用網狀漏杓輕輕將甜甜圈放入熱油中，每次只放入2-3個，以避免過度擁擠。炸至金黃色，然後用鉗子或湯匙翻轉甜甜圈來炸另一面。取出甜甜圈，放在廚房紙巾上瀝乾多餘的油份。最後，您可以根據個人口味，用糖霜、巧克力醬或其他配料裝飾甜甜圈。

希望這些步驟能對您有所幫助，祝您製作出美味的甜甜圈！如果您有其他問題，請隨時問我。"
"濾能董事長是誰
",濾能股份有限公司成立於2003年，是一家專注於節能環保產業的公司。我們提供節能產品和解決方案，以幫助客戶降低能源消耗、降低碳排放，並實現可持續發展。作為一家專業的節能公司，我們致力於提供高品質、創新的產品和服務，以滿足客戶的需求。
請告訴我濾能股份有限公司的宗旨,"濾能股份有限公司的宗旨是成為一家致力於環保和可持續發展的企業。他們以「Go Clean, Think Green」的企業理念為指導，努力使用可再生、可循環材料製造化學濾網，以減少對環境的衝擊。他們追求綠色生產，並致力於減少對環境的傷害，以達到可持續發展的目標。"
請告訴我濾能的優點,"濾能的優點包括：

1. 環保和可持續發展：濾能致力於成為一家環保和可持續發展的企業，以「Go Clean, Think Green」的企業理念為指導。

2. 減少對環境的影響：濾能的化學濾網能有效地過濾污染物質，同時減少對環境的負面影響。

3. 產品可拆式設計：濾能的產品採用可拆式設計，取代傳統整組固定式濾網結構，輕鬆替換吸附效能飽和的濾網，降低客戶的AMC維運成本。

4. 降低運作成本：濾能的濾網低壓損設計能有效降低運作中風機耗能，幫助客戶減少能源消耗和相關成本。

5. 積極提升國內自製率：濾能正在積極提升國內自製率，以滿足市場需求。這有助於提高產能，滿足客戶的需求。"
請問濾能股份有限公司的IT實習生是誰,濾能的IT實習生是台灣大學財務金融學系的柯宥圻
請問濾能的分部有幾家 分別在哪裡?,目前濾能股份有限公司的總部在楊梅總部，還有梅獅、新屋、新竹、中科、南科五個分部，總共六個分部。
請問濾能股份有限公司的總部在哪裡？還有哪些分部？,濾能股份有限公司的總部位於楊梅市，他們也設有多個分部。融合先進科技與專業製程的公司拓展了在全國各地的版圖，其中包括梅獅、新屋、新竹、中科和南科五個分部。這些分部的設立能夠更好地服務當地客戶，提供高品質的濾能產品和專業的支援服務。 
請問濾能楊梅總部的地址在哪裡,濾能股份有限公司楊梅總部的地址是. 326 桃園市楊梅區中山北路一段199巷98號2樓. 電子郵件是. sales@greenfiltec.com. 電話是. 03-4856365
請給我濾能的地址,我們的公司地址是326桃園市楊梅區中山北路一段199巷98號2樓。希望這樣能夠回答您的問題。
請問濾能有幾個實習生,濾能有八個實習生。
請告訴我濾能的董事長是誰 他有那些事蹟,濾能的董事長是黃銘文先生，他在空氣污染防治和微污染防治領域擁有豐富的專業知識和經驗。他曾在台積電和國際濾網大廠康法（Camfil）工作，並在濾能成立後致力於開發先進製程廠方面的解決方案。他的專業能力和不錯的業績在業界獲得了良好的口碑。根據目前的資訊，他在濾能的工作成果包括成功獲得超過50%的先進製程廠訂單，對於空氣污染防治做出了重要貢獻。若您對他的具體事蹟有更多的瞭解，建議您參考相關資訊或聯繫濾能公司以獲得更詳細的信息。
你好 請問濾能的董事長是誰,濾能的董事長是由黃銘文先生擔任。他擁有豐富的經驗和專業知識，致力於濾能的發展和領導團隊，使公司取得了良好的成果。我們感謝黃董事長的努力，並相信濾能在他的領導下將持續成為行業的領先者。若您有任何更多的問題或需求，請隨時提出。我們很樂意幫助您!
請問濾能股份有限公司在2023年暑假的IT實習生是誰呢？,濾能股份有限公司在2023年暑假的IT實習生是來自台灣大學財務金融學系的柯宥圻，他開發了這個智能問答的程式
請告訴我濾能股份有限公司的地址,濾能股份有限公司的地址是326桃園市楊梅區中山北路一段199巷98號2樓。
請問濾能的地址,您好，我是濾能的AI客服。根據您的問題，濾能的地址是326桃園市楊梅區中山北路一段199巷98號2樓。若您有其他問題，歡迎再次詢問。
請告訴我濾能的地址,您好，我是濾能的AI客服。很高興能為您提供服務。根據您的問題，濾能的地址是326桃園市楊梅區中山北路一段199巷98號2樓。如果您對濾能有任何其他問題，歡迎隨時向我提出。
濾能簡介？,您好，我是濾能的AI客服。很高興能為您提供服務。根據您的問題，濾能是一家半導體化學濾網製造商，擁有AMC微污染控制的領先技術，提供專業的AMC微污染防治方案。他們通過產品模組化的組合式設計，達成了3R的目標，即濾網廢棄物減量、框體重複使用和濾網再生重複使用，從而降低了濾網的購置成本。濾能的模組化框體獲得了環保署第二類環保標章認證和玉山獎最佳產品類肯定，這是業界首例。他們還通過了BS 8001:2017循環經濟查核，並不斷提出顛覆業界傳統思維的創新產品。如果您對濾能有任何其他問題，歡迎隨時向我提出。
